美瑛神社,北海道上川郡美瑛町東町４丁目１−１‎
神明神社（鴨川市天津）,千葉県鴨川市天津2950番地
八王子神社,千葉県船橋市古和釜町161番地
住吉神社（長生郡長生村）,千葉県長生郡長生村本郷2152番地
葛飾八幡宮,千葉県市川市八幡四丁目2番1号
熊野神社 (四街道市亀崎),千葉県四街道市亀崎1番地
小御門神社,千葉県成田市名古屋898
鶴谷八幡宮,千葉県館山市八幡68
八王子神社 (船橋市),千葉県船橋市古和釜161
飯香岡八幡宮,千葉県市原市八幡1057-1
白山神社 (君津市俵田),千葉県君津市俵田1452
神明神社（鴨川市天津）,千葉県鴨川市天津2950番地
赤城神社,千葉県流山市流山6-649
住吉神社（長生郡長生村）,千葉県長生郡長生村本郷2152番地
千葉神社,千葉県千葉市中央区院内1-16-1
熊野神社 (船橋市),千葉県船橋市古作3-7-1
熊野神社 (匝瑳市),千葉県匝瑳市宮本256
熊野神社 (旭市),千葉県旭市清和乙715
神明神社（鴨川市天津）,千葉県鴨川市天津2950番地
八重垣神社,千葉県匝瑳市八日市場イ2940番地
白鳥神社 (君津市),千葉県君津市鹿野山118
國吉神社,千葉県いすみ市苅谷630番地
諏訪神社 (香取市),千葉県香取市佐原イ1020
橘樹神社 (茂原市),千葉県茂原市本納738
天満宮 (白井市河原子),千葉県白井市河原子274-1
玉崎神社（千葉県旭市）,千葉県旭市飯岡2126-1
國吉神社,千葉県いすみ市苅谷630番地
六所神社,千葉県いす市岬町江場土291番地
面足神社,千葉県山武郡芝山町小池２３４７
三社神社（千葉市花見川区）,千葉県千葉市花見川区犢橋町1109番地
道野辺八幡宮,千葉県鎌ヶ谷市道野辺中央5-6-10
検見川神社,千葉県千葉市花見川区検見川町1-1
松戸神社,千葉県松戸市松戸1457
検見川神社,千葉県千葉市花見川区検見川町1-1
子守神社,千葉県千葉市花見川区幕張町2-990
稲荷神社（千葉市若葉区）,千葉県千葉市若葉区小倉町382
香取神社（千葉市中央区）,千葉県千葉市中央区院内2-17
蘇我比め神社,千葉県千葉市中央区蘇我町1-188
登渡神社,千葉県千葉市中央区登戸3-3-8
八雲神社（富津市岩坂）,千葉県富津市岩坂74番地
八坂神社（茂原市早野）,千葉県茂原市早野2419番地
八坂神社（香取市篠原）,千葉県香取市篠原イ576番地
八坂神社（長生郡長南町）,千葉県長生郡長南町芝原244番地
八坂神社（香取市篠原）,千葉県香取市篠原イ576番地
八坂神社（富津市富津）,千葉県富津市富津1465番地
八坂神社（市原市椎津）,千葉県市原市椎津230番地1
矢刺神社,千葉県旭市三川3719-2
八街神社,千葉県八街市八街へ217番地
山倉大神,千葉県香取市山倉2347-1
横田神社,千葉県袖ケ浦市横田2470番地
雷神社,千葉県旭市見広1371番地
松山神社,千葉県匝瑳市松山1123番地
麻賀多神社（佐倉市）,千葉県佐倉市鏑木933番地
松山神社,千葉県匝瑳市松山1123番地
三嶋神社（長生郡長生村）,千葉県長生郡長生村宮成232番地
三嶋神社（いすみ市）,千葉県いすみ市上布施997番地
國吉神社,千葉県いすみ市苅谷630番地
宗像神社（印西市）,千葉県印西市鎌苅1668番地ノ1
宗像神社（印西市吉高）,千葉県印西市吉高700番地ノ1
宗像神社（印西市山田）,千葉県印西市山田94番地
宗像神社（印西市船尾）,千葉県印西市船尾1293番地
八重垣神社（香取市新里）,千葉県香取市新里983番地
八重垣神社,千葉県匝瑳市八日市場イ2940番地
八重垣神社（香取市新里）,千葉県香取市新里983番地
八幡神社（鎌ケ谷市）,千葉県鎌ケ谷市道野辺中央五丁目6番25号
八幡神社（長生郡）,千葉県長生郡長南町豊原349番地
國吉神社,千葉県いすみ市苅谷630番地
八幡神社（南房総市）,千葉県南房総市珠師ケ谷546番地
八幡神社（野田市）,千葉県野田市今上1977番地
八幡大神（旭市琴田）,千葉県旭市琴田3240番地
日枝神社（市川市）,千葉県市川市相之川1-2-19
日吉神社,千葉県木更津市大久保73番地
若子神社,栃木県日光市久次良町
宇都宮二荒山神社,栃木県宇都宮市馬場通り1-1-1
日光二荒山神社,栃木県日光市山内2307
星宮神社（佐野市）,栃木県佐野市大蔵町2928
日光東照宮,栃木県日光市山内2301
大前神社,栃木県真岡市東郷937
尾出山神社（鹿沼市上永野落合）,栃木県鹿沼市上永野1883-2
朝日森天満宮,栃木県佐野市天神町807
栃木県護国神社,栃木県宇都宮市陽西町1-37
芝切神社,栃木県下都賀郡壬生町福和田1593
熊野神社（那須烏山市）,栃木県那須烏山市向田2592
大宮神社（栃木市）,栃木県栃木市西方町真名子3110
烏森神社（那須塩原市）,栃木県那須塩原市三区町635番地
赤城神社（佐野市）,栃木県佐野市植下町430
賀茂別雷神社,栃木県佐野市多田町1506
大神神社（栃木市）,栃木県栃木市惣社町477
賀蘇山神社,栃木県鹿沼市入粟野尾鑿713
一瓶塚稲荷神社,栃木県佐野市田沼町1404
栃木県護国神社,栃木県宇都宮市陽西町1-37
芝切神社,栃木県下都賀郡壬生町福和田1593
柿塚神社,栃木県宇都宮市中戸祭1-13-9
星宮神社（宇都宮市西川田）,栃木県宇都宮市西川田本町3-14-8
六所神社,栃木県宇都宮市宝木本町2083
神明宮（宇都宮市一条）,栃木県宇都宮市一条3-4-24
瀧尾神社(宇都宮市滝谷町）,栃木県宇都宮市滝谷町20-22
星宮神社（芳賀町東水沼）,栃木県芳賀郡芳賀町東水沼2014
諏訪神社（芳賀町八ッ木）,栃木県芳賀郡芳賀町八ッ木862
愛宕山神社/羽黒山神社,栃木県さくら市早乙女312
栃木県護国神社,栃木県宇都宮市陽西町1-37
芝切神社,栃木県下都賀郡壬生町福和田1593
八幡宮（壬生町羽生田）,栃木県下都賀郡壬生町羽生田1711
大神神社（栃木市）,栃木県栃木市惣社町477
八幡宮（壬生町本丸）,栃木県下都賀郡壬生町本丸2-14-16
稲荷神社（壬生町本丸）,栃木県下都賀郡壬生町本丸2-14-30
磐裂根裂神社（鹿沼市北赤塚町）,栃木県鹿沼市北赤塚町1053
十二所神社（芳賀町東水沼）,栃木県芳賀郡芳賀町東水沼1644
星宮神社（栃木市藤田町）,栃木県栃木市藤田町207
尾出山神社（鹿沼市上永野山口）,栃木県鹿沼市上永野1534
栃木県護国神社,栃木県宇都宮市陽西町1-37
芝切神社,栃木県下都賀郡壬生町福和田1593
鹿嶋神社（鹿沼市上南摩）,栃木県鹿沼市上南摩246
富士山神社,栃木県宇都宮市元今泉3-21-24
星宮神社（宇都宮市幕田町）,栃木県宇都宮市幕田町166
栃木県護国神社,栃木県宇都宮市陽西町1-37
雄琴神社 (壬生町),栃木県下都賀郡壬生町通町18-58
栗山東照宮,栃木県日光市野門199
野木神社,栃木県下都賀郡野木町野木2404
唐沢山神社,栃木県佐野市富士町1409
芝切神社,栃木県下都賀郡壬生町福和田1593
氏家今宮神社,栃木県さくら市馬場43
上山神社,栃木県芳賀郡益子町上山639
神明神社（鹿沼市白桑田）,栃木県鹿沼市白桑田523
琴平神社（宇都宮市清住）,栃木県宇都宮市清住1-3-30
熊野神社（芳賀郡益子町）,栃木県芳賀郡益子町北中953
星宮神社（下野市細谷）,栃木県下野市細谷732-1
星宮神社（下野市下石橋）,栃木県下野市下石橋447
今宮神社（さくら市松山）,栃木県さくら市松山205
今宮神社（さくら市箱森新田）,栃木県さくら市箱森新田630
芝切神社,栃木県下都賀郡壬生町福和田1593
氏家今宮神社,栃木県さくら市馬場43
人丸神社（さくら市松山新田）,栃木県さくら市松山新田300
星宮神社（塩谷郡塩谷町）,栃木県塩谷郡塩谷町金枝469
大神神社（栃木市）,栃木県栃木市惣社町477
栃木県護国神社,栃木県宇都宮市陽西町1-37
星宮神社（鹿沼市南上野町）,栃木県鹿沼市南上野町419
人丸神社（日光市手岡）,栃木県日光市手岡103
綱神社,栃木県芳賀郡益子町上大羽943
加茂神社（芳賀郡益子町）,栃木県芳賀郡益子町大沢1709
芝切神社,栃木県下都賀郡壬生町福和田1593
氏家今宮神社,栃木県さくら市馬場43
愛宕神社（鹿沼市北赤塚町）,栃木県鹿沼市北赤塚町940
星宮神社（栃木市田村町）,栃木県栃木市田村町941
宮目神社,栃木県栃木市田村町宮辺313
鹿嶋神社（佐野市）,栃木県佐野市水木町664
宇都宮神社,栃木県佐野市作原町96
孝謙天皇神社,栃木県下野市上大領161
大杉神社（鹿沼市千渡）,栃木県鹿沼市千渡489
浅間神社（鹿沼市千渡）,栃木県鹿沼市千渡1213
芝切神社,栃木県下都賀郡壬生町福和田1593
氏家今宮神社,栃木県さくら市馬場43
神明神社（鹿沼市高谷）,栃木県鹿沼市高谷975
日吉神社（鹿沼市池ノ森）,栃木県鹿沼市池ノ森858
愛宕神社（鹿沼市藤江町）,栃木県鹿沼市藤江町1518
浅間神社（鹿沼市藤江町）,栃木県鹿沼市藤江町814
八坂神社(鹿沼市深津）,栃木県鹿沼市深津
日光本宮神社,栃木県鹿沼市口粟野666
日光神社,栃木県鹿沼市上粕尾559
口粟野神社,栃木県鹿沼市口粟野1737
栃木県護国神社,栃木県宇都宮市陽西町1-37
芝切神社,栃木県下都賀郡壬生町福和田1593
次石神社,栃木県鹿沼市富岡1253
熊野山神社/天神社,栃木県鹿沼市上石川601
愛宕神社（鹿沼市上石川）,栃木県鹿沼市上石川2060
柴宮神社（鹿沼市上石川）,栃木県鹿沼市上石川646
日吉神社（鹿沼市上石川）,栃木県鹿沼市上石川1171
磐裂神社（鹿沼市下石川）,栃木県鹿沼市下石川345
磐裂根裂神社（鹿沼市）,栃木県鹿沼市亀和田町605
稲荷神社（鹿沼市）,栃木県鹿沼市亀和田町295
芝切神社,栃木県下都賀郡壬生町福和田1593
氏家今宮神社,栃木県さくら市馬場43
村田神社,茨城県常陸大宮市下村田1898
一矢神社,茨城県常陸大宮市下桧沢850-1
鹿島神社（水戸市飯島町）,茨城県水戸市飯島町734
三熊神社,茨城県潮来市茂木652
山倉神社,茨城県筑西市小川1528
椿神社,茨城県鹿嶋市中2531
大生神社,茨城県潮来市大生814
竹島神社,茨城県筑西市稲野辺28-1
吉田神社 (水戸市),茨城県水戸市宮内町3193-2
八坂神社（つくば市上郷）,茨城県つくば市上郷2505
筑波山神社,茨城県つくば市筑波1番地
香取社（坂東市矢作）,茨城県坂東市矢作2511
吉田神社（水戸市下入野町）,茨城県水戸市下入野町1352
水戸八幡宮,茨城県水戸市八幡町8-54
若宮八幡宮 (常陸太田市),茨城県常陸太田市宮本町2344
橿原神宮（ひたちなか市）,茨城県ひたちなか市富士ノ上２の１
鷲子山上神社（常陸大宮市）,茨城県常陸大宮市鷲子３６２７
八幡神社（水戸市川又町）,茨城県水戸市川又町561
常磐神社,茨城県水戸市常磐町1-3-1
八坂神社（つくば市上郷）,茨城県つくば市上郷2505
頼政神社,茨城県古河市錦町9-4
愛宕社（愛宕社）,茨城県古河市柳橋752
雷電神社（古河市雷電町）,茨城県古河市雷電町7-35
笠間稲荷神社,茨城県笠間市笠間1
大杉神社（稲敷市）,茨城県稲敷市阿波958
金刀毘羅神社（水戸市泉町）,茨城県水戸市泉町3-2-8
吉田神社（ひたちなか市中根）,茨城県ひたちなか市中根2735
八坂神社（水戸市河和田町）,茨城県水戸市河和田町955-2
鹿島神社（水戸市鯉淵町）,茨城県水戸市鯉淵町2924
八坂神社（つくば市上郷）,茨城県つくば市上郷2505
茨城県護国神社,茨城県水戸市見川１丁目２−１
天神社（石岡市片岡）,茨城県石岡市片岡1228
酒列磯前神社,茨城県ひたちなか市磯崎町4607-2
稲荷神社（結城市結城）,茨城県結城市結城562
静神社,茨城県那珂市静455
金刀比羅神社（石岡市）,茨城県石岡市国府6-2-1
龍神社（坂東市生子）,茨城県坂東市生子632
津神社,茨城県日立市久慈町3-3-16
大塚神社（北茨城市関本町）,茨城県北茨城市関本町富士ケ丘302
八坂神社（つくば市上郷）,茨城県つくば市上郷2505
土神社,茨城県ひたちなか市東石川3-2-3
諏訪神社（北茨城市華川町）,茨城県北茨城市華川町下小津田289
諏訪神社（結城市上山川）,茨城県結城市上山川161
稲荷神社（北茨城市関南町）,茨城県北茨城市関南町神岡上594
諏訪神社（東茨城郡大洗大貫町）,茨城県東茨城郡大洗大貫町295
陰陽神社,茨城県常陸大宮市山方4927番地
天満神社（日立市河原子町）,茨城県日立市河原子町3-15-18
愛宕神社（日立市十王町）,茨城県日立市十王町伊師2951
鹿嶋神社（日立市大久保町）,茨城県日立市大久保町2-2-11
八坂神社（つくば市上郷）,茨城県つくば市上郷2505
須賀神社（水戸市鯉淵町）,茨城県水戸市鯉淵町4705-1
素鵞神社（水戸市上河内町）,茨城県水戸市上河内町547
住吉神社（結城市結城）,茨城県結城市結城1411
香取神社（水戸市島田町）,茨城県水戸市島田町2042
熊野神社（石岡市細谷）,茨城県石岡市細谷812
鹿島諏訪神社,茨城県那珂市大内610
高山神社,茨城県日立市東河内町1156
板橋神社,茨城県筑西市板橋267
八幡神社（古河市本町）,茨城県古河市本町2-15-15
八坂神社（つくば市上郷）,茨城県つくば市上郷2505
今宮神社（古河市東山田）,茨城県古河市東山田1901-1
鹿島神社（古河市下大野）,茨城県古河市下大野326
香取神社（古河市中田）,茨城県古河市中田新田200
天録稲荷神社,茨城県土浦市神立中央1-7-19
竹駒稲荷神社,茨城県古河市本町1-4-11
天神社（下妻市加養）,茨城県下妻市加養3426
鹿島神社（土浦市神立町）,茨城県土浦市神立町1762
鹿島神社（土浦市木田余東台）,茨城県 土浦市木田余東台2丁目13−2
塩竃神社（日立市滑川本町）,茨城県日立市滑川本町1-10-1
八坂神社（つくば市上郷）,茨城県つくば市上郷2505
愛宕神社（下妻市大園木）,茨城県下妻市大園木1866
桐ケ瀬天満神社,茨城県下妻市桐ケ瀬105
熊野神社（下妻市小島）,茨城県下妻市小島56
猿田彦神社（龍ケ崎市）,茨城県龍ケ崎市板橋町1941
日枝神社（龍ケ崎市馴馬町）,茨城県龍ケ崎市馴馬町3838
鹿島神社（龍ケ崎市泉町）,茨城県龍ケ崎市泉町1465
八幡神社（龍ケ崎市川原代町）,茨城県龍ケ崎市川原代町西道内3513
星宮熊野神社,茨城県結城市上山川4718
浅間神社（結城市古宿新田）,茨城県結城市古宿新田171
八坂神社（つくば市上郷）,茨城県つくば市上郷2505
稲荷神社（結城市結城）,茨城県結城市結城9786
山神社（結城市）,茨城県結城市上山川5027
神明神社（結城市小田林）,茨城県結城市小田林1554
天満神社（那珂市豊喰）,茨城県那珂市豊喰1
八幡神社（石岡市柿岡）,茨城県石岡市柿岡1857
熊野神社（常陸太田市常福地町）,茨城県常陸太田市常福地町946
五所神社,茨城県筑西市五所宮1
高房神社,茨城県常陸太田市稲木町996
鹿島神社（常陸太田市粟原町）,茨城県常陸太田市粟原町464
八坂神社（つくば市上郷）,茨城県つくば市上郷2505
春日神社（常陸太田市高貫町）,茨城県常陸太田市高貫町532
大中神社,茨城県常陸太田市大中町1706
熊野神社（常陸太田市中染町）,茨城県常陸太田市中染町2651
八幡神社（常総市上蛇町）,茨城県常総市上蛇町1716
天満神社（取手市宮和田）,茨城県取手市宮和田1881
八幡社（常総市大崎）,茨城県常総市大崎260
鷲神社,茨城県北相馬郡利根町押戸1287
八幡神社（常総市笹塚新田町）,茨城県常総市笹塚新田町79
八幡神社（常総市相野谷町）,茨城県常総市相野谷町934
八坂神社（つくば市上郷）,茨城県つくば市上郷2505
前橋東照宮,群馬県前橋市大手町3-13-19
赤城神社,群馬県前橋市富士見町赤城山4-2
桐生西宮神社,群馬県桐生市宮本町２丁目１−３
桐生天満宮,群馬県桐生市天神町1丁目2番1号
春日神社 (高崎市),群馬県高崎市上里見町字天水1657番地
貴船神社 (みどり市),群馬県みどり市大間々町塩原785番地
群馬縣護國神社,群馬県高崎市乗附町2000
世良田東照宮,群馬県太田市世良田町3119番地1
赤城神社,群馬県前橋市三夜沢町114
一之宮貫前神社,群馬県富岡市一ノ宮1535
居多神社,新潟県上越市五智6-1-11
物部神社 (柏崎市),新潟県柏崎市西山町二田607-2
白山神社 (新潟市中央区一番堀通町),新潟県新潟市中央区一番堀通町510番地
新潟縣護國神社,新潟県新潟市中央区西船見町5932-300
諏訪神社 (新発田市),新潟県新発田市諏訪町1丁目8番9号
彌彦神社,新潟県西蒲原郡弥彦村弥彦2898
度津神社,新潟県佐渡市羽茂飯岡550-4
浅間神社（笛吹市）,山梨県笛吹市一宮町一宮1684
山梨岡神社,山梨県山梨市下石森1
新倉富士浅間神社,山梨県富士吉田市新倉3353
河口浅間神社,山梨県 南都留郡 富士河口湖町河口1
富士御室浅間神社,山梨県 南都留郡富士河口湖町勝山３９５１
一宮浅間神社,山梨県西八代郡市川三郷町高田字宮本3696
太神社（富士吉田市小明見）,山梨県富士吉田市小明見3212
東屋神社（北杜市須玉町）,山梨県北杜市須玉町若神子3947
八雲神社（南アルプス市榎原）,山梨県南アルプス市榎原669
日吉神社（甲府市上積翠寺町）,山梨県甲府市上積翠寺町630
諏訪神社（上野原市）,山梨県上野原市秋山3430
八王子神社（山梨市水口）,山梨県山梨市水口2069
二宮神社（甲府市川田町）,山梨県甲府市川田町361
神部神社,山梨県甲州市塩山上萩原1415
八雲神社（南アルプス市榎原）,山梨県南アルプス市榎原669
天津司神社,山梨県甲府市小瀬町557
熊野神社（甲州市塩山熊野）,山梨県甲州市塩山熊野174
日吉神社（甲府市上積翠寺町）,山梨県甲府市上積翠寺町630
住吉神社（甲府市住吉）,山梨県甲府市住吉1-13-10
八坂大神社,山梨県甲州市塩山藤木2353
文珠神社,山梨県甲府市寿町5-7
石船神社,山梨県笛吹市一宮町国分221
熊野神社（笛吹市御坂町）,山梨県笛吹市御坂町八千蔵274
国福大神社,山梨県富士吉田市下吉田6744-2
大亀神社,山梨県笛吹市石和町唐柏193
天神社（笛吹市御坂町）,山梨県笛吹市御坂町下黒駒180
御崎神社（北杜市明野町）,山梨県北杜市明野町上手8742
石和八幡宮,山梨県笛吹市石和町市部1094
住吉神社（甲府市住吉）,山梨県甲府市住吉1-13-10
八坂大神社,山梨県甲州市塩山藤木2353
山梨縣護國神社,山梨県甲府市岩窪町608
物部神社,山梨県笛吹市石和町松本615
住吉神社（甲府市住吉）,山梨県甲府市住吉1-13-10
諏訪神社（笛吹市石和町）,山梨県笛吹市石和町小石和412
浅間愛鷹神社,山梨県中央市大鳥居2764
天神社（甲州市勝沼町）,山梨県甲州市勝沼町綿塚894
五所大神社,山梨県甲州市勝沼町勝沼3553
日吉山王神社,山梨県山梨市牧丘町室伏2990
諏訪神社 (南アルプス市曲輪田),山梨県南アルプス市曲輪田1077
八坂大神社,山梨県甲州市塩山藤木2353
大神社（笛吹市春日居町）,山梨県笛吹市春日居町徳条59
八幡神社（甲斐市篠原）,山梨県甲斐市篠原2319
若宮八幡神社（山梨市牧丘町）,山梨県山梨市牧丘町西保中418
甲斐奈神社,山梨県甲府市中央3-7-11
諏訪神社（南巨摩郡身延町）,山梨県南巨摩郡身延町大磯小磯4717
伊勢神明宮諏訪神社,山梨県西八代郡市川三郷町楠甫十王堂282
浅間神社(南巨摩郡南部町),山梨県南巨摩郡南部町万沢3517
宮ノ花八幡神社,山梨県南巨摩郡身延町波木井259-1
八坂大神社,山梨県甲州市塩山藤木2353
御崎社（南アルプス市落合）,山梨県南アルプス市落合2351
弓削神社,山梨県西八代郡市川三郷町市川大門6373
八幡神社（南巨摩郡南部町）,山梨県南巨摩郡南部町内船6859-1
五社神社（甲府市右左口町）,山梨県甲府市右左口町4320-1
住吉神社（中央市西新居）,山梨県中央市西新居310
白髭神社（笛吹市芦川町）,山梨県笛吹市芦川町中芦川542
白山神社（笛吹市境川町）,山梨県笛吹市境川町大黒坂875
熊野神社（笛吹市八代町）,山梨県笛吹市八代町竹居1237
大嵐天神社,山梨県南都留郡富士河口湖町大嵐71
八坂大神社,山梨県甲州市塩山藤木2353
御崎社（南アルプス市落合）,山梨県南アルプス市落合2351
御柱社,山梨県南アルプス市上今諏訪1831
若宮八幡神社（南巨摩郡南部町）,山梨県南巨摩郡南部町本郷1030-1
八幡神社（南巨摩郡富士川町）,山梨県南巨摩郡富士川町小林2247
鹿島神社（南巨摩郡富士川町）,山梨県南巨摩郡富士川町鹿島256
諏訪神社 (南アルプス市曲輪田),山梨県南アルプス市曲輪田1077
天神社（南巨摩郡富士川町）,山梨県南巨摩郡富士川町高下2150
子神社（大月市賑岡町）,山梨県大月市賑岡町岩殿139
若宮八幡神社（南巨摩郡富士川町）,山梨県南巨摩郡富士川町小林1776
八坂大神社,山梨県甲州市塩山藤木2353
御崎社（南アルプス市落合）,山梨県南アルプス市落合2351
熊野神社（笛吹市八代町）,山梨県笛吹市八代町高家2355
藤武神社,山梨県韮崎市中田町中條4787
大六天社（韮崎市穂坂町）,山梨県韮崎市穂坂町三之蔵5829
八幡神社（上野原市上野原）,山梨県上野原市上野原5642
神明神社（南アルプス市飯野新田）,山梨県南アルプス市飯野新田514
勝手神社,山梨県韮崎市岩下988
福地八幡神社（韮崎市藤井町）,山梨県韮崎市藤井町北下條2027
八幡神社（南アルプス市六科）,山梨県南アルプス市六科1497
諏訪神社 (南アルプス市曲輪田),山梨県南アルプス市曲輪田1077
八坂大神社,山梨県甲州市塩山藤木2353
若宮八幡神社（中巨摩郡昭和町）,山梨県中巨摩郡昭和町西条4161
御崎大神社（中巨摩郡昭和町）,山梨県中巨摩郡昭和町築地新居603
御崎神社（中央市上三条）,山梨県中央市上三条891
八幡大神社（北杜市長坂町）,山梨県北杜市長坂町中丸3721
天神社（北杜市須玉町）,山梨県北杜市須玉町比志日向5209
諏訪神社（北杜市長坂町）,山梨県北杜市長坂町大井ヶ森1208
豊国神社（北杜市高根町）,山梨県北杜市高根町清里念場3545
穂見諏訪十五所神社,山梨県北杜市長坂町長坂上条宮久保1461
八坂大神社,山梨県甲州市塩山藤木2353
御崎社（南アルプス市落合）,山梨県南アルプス市落合2351
伊勢神明社（北杜市明野町）,山梨県北杜市明野町上手9607
石宮神社,山梨県韮崎市龍岡町下條南割817
神明神社（韮崎市龍岡町）,山梨県韮崎市龍岡町若尾新田113
御杉神社,山梨県韮崎市清哲町樋口96
白山社,山梨県韮崎市神山町鍋山2584
天神社（北杜市武川町）,山梨県北杜市武川町黒澤1577
八王子神社（都留市）,山梨県都留市古川渡891
小野熊野神社,山梨県都留市小野1468
八坂大神社,山梨県甲州市塩山藤木2353
御崎社（南アルプス市落合）,山梨県南アルプス市落合2351
諏訪大社上社本宮,長野県諏訪市中洲宮山1
仁科神明宮,長野県大町市社宮本1159
武水別神社,長野県千曲市八幡3012
深志神社,長野県松本市深志3丁目7-43
長野縣護國神社,長野県松本市美須々6-1
穂高神社（本宮）,長野県安曇野市穂高6079
若一王子神社,長野県大町市大字大町2097
熊野神社 (安中市),長野県北佐久郡軽井沢町峠町1番地
穂高神社（奥宮）,長野県松本市安曇上高地明神池畔
筑摩神社 (松本市),長野県松本市筑摩2-6-1
生島足島神社,長野県上田市下之郷中池西701
塩釜神社 (松本市),長野県松本市蟻ヶ崎1-4-34
戸隠神社,長野県長野市戸隠3506
犬島神社,長野県山梨県上野原市川合3809
武井神社,長野県長野市長野東町191番地
諏訪大社下社秋宮,長野県諏訪郡下諏訪町5828
諏訪大社下社春宮,長野県諏訪郡下諏訪町193
諏訪大社上社前宮,長野県茅野市宮川2030
熱田神宮,愛知県名古屋市熱田区神宮1-1-1
大神神社（愛知県一宮市）,愛知県一宮市花池2-15-28
真清田神社,愛知県一宮市真清田1-2-1
岩津天満宮,愛知県岡崎市岩津町字東山53
若宮八幡社 (名古屋市中区)/若宮八幡宮,愛知県名古屋市中区栄3-35-30
鳴海八幡宮,愛知県名古屋市緑区鳴海町字前之輪23
田縣神社,愛知県小牧市田県町152
白山神社 (一宮市),愛知県一宮市木曽川町黒田九の通り51番地
成海神社,愛知県名古屋市緑区鳴海町乙子山85
矢作神社 (岡崎市),愛知県岡崎市矢作町字宝珠庵1
鳳来山東照宮,愛知県新城市門谷字鳳来寺4
熊野神社 (小牧市久保一色),愛知県小牧市久保一色山新田227
吉田神社 (豊橋市),愛知県豊橋市関屋町２
熊野神社 (小牧市岩崎),愛知県小牧市大字岩崎1337
桃太郎神社 (犬山市),愛知県犬山市栗栖字古屋敷
金刀比羅宮尾張分社,愛知県一宮市大字瀬部字四日市場17-2
岡崎天満宮,愛知県岡崎市中町北野1
北野天神社 (江南市),愛知県江南市北野町天神8
岩津天満宮,愛知県岡崎市岩津町字東山53
尾張大国霊神社,愛知県稲沢市国府宮1-1-1
愛知縣護國神社,愛知県名古屋市中区三の丸1-7-3
白鳥神社 (東郷町),愛知県愛知郡東郷町諸輪字中市151
上野天満宮,愛知県名古屋市千種区赤坂町4丁目89番地
山田天満宮,愛知県名古屋市北区山田町3丁目
桜天神社,愛知県名古屋市中区錦2-4-6
星宮社,愛知県名古屋市南区本星崎町字宮西616
白山神社 (春日井市二子町),愛知県春日井市二子町2-11-3
那古野神社,愛知県名古屋市中区丸の内二丁目3-17
豊国神社 (名古屋市),愛知県名古屋市中村区中村町字木下屋敷
滝山東照宮,愛知県岡崎市滝町山籠107
足助八幡宮,愛知県豊田市足助町宮ノ後13
津島神社,愛知県津島市神明町1
大縣神社,愛知県犬山市宮山3
名古屋東照宮,愛知県名古屋市中区丸の内2-3-37
若宮八幡社 (名古屋市中区)/若宮八幡宮,愛知県名古屋市中区栄3-35-30
砥鹿神社,愛知県豊川市一宮町西垣内2（里宮）
高座結御子神社,愛知県名古屋市熱田区高蔵町9-9
氷上姉子神社,愛知県名古屋市緑区大高町火上山1-3
戸隠神社,岐阜県郡上市和良町宮地
南宮大社,岐阜県不破郡垂井町宮代峯1734-1
天神神社 (岐阜市柳津町),岐阜県岐阜市柳津町北塚2-27
貴船神社 (関市),岐阜県関市貴船町20
龍馬神社,岐阜県中津川市千旦林林岩屋堂
養老神社,岐阜県養老郡養老町養老公園
飛騨東照宮,岐阜県高山市西之一色町3丁目1004番地
濃飛護國神社,岐阜県大垣市郭町2-55
大津神社（飛騨市）,岐阜県飛騨市神岡町船津1799-5
伊奈波神社,岐阜県岐阜市伊奈波通り1-1
日枝神社 (高山市),岐阜県高山市城山156
貴船神社 (大垣市),岐阜県大垣市本町1丁目75
水無神社（中津川市）,岐阜県中津川市加子母554番地の1
水無神社（中津川市）,岐阜県中津川市加子母渡合3420番地
貴船神社 (可児市兼山),岐阜県可児市兼山３２７
貴船神社 (飛騨市),岐阜県飛騨市古川町貴船町8-6
天満神社 (高山市),岐阜県高山市国府町村山626
飛騨天満宮,岐阜県高山市天満町2丁目30
神田神社 (東白川村),岐阜県加茂郡東白川村神土604
気多若宮神社,岐阜県飛騨市古川町上気多1297
岐阜護國神社,岐阜県岐阜市御手洗393
飛騨護國神社,岐阜県高山市堀端町90
白鳥神社 (郡上市),岐阜県郡上市白鳥町白鳥680-1
水無神社（中津川市）,岐阜県中津川市付知町字曽利逸3875番地
水無神社 (高山市),岐阜県飛騨市神岡町東漆山192番地の1
諏訪神社 (美濃加茂市),岐阜県美濃加茂市下米田町今元入会地5
長良天神神社,岐阜県岐阜市長良1972-１
加納天満宮,岐阜県岐阜市加納天神町4-1
大津神社（飛騨市）,岐阜県飛騨市神岡町船津1799-5
飛騨一宮水無神社,岐阜県高山市一之宮町石原5323
来宮神社,静岡県熱海市西山町43-1
事任八幡宮,静岡県掛川市八坂642
伊那下神社,静岡県賀茂郡松崎町松崎28
伊那上神社,静岡県賀茂郡松崎町宮内37-1
高松神社,静岡県御前崎市門屋2068番地
高松神社,静岡県御前崎市門屋2068番地
五社神社・諏訪神社,静岡県浜松市中区利町302-5
小笠神社,静岡県掛川市入山瀬852番地
須倍神社,静岡県浜松市北区都田町6284
熊野神社 (掛川市),静岡県掛川市大渕14290
龍尾神社,静岡県掛川市下西郷84番地
